시도,ym,year,month,real_powerCPI
전국,2004.01,2004,1,1.488703423
전국,2004.02,2004,2,1.482143607
전국,2004.03,2004,3,1.467893213
전국,2004.04,2004,4,1.420720134
전국,2004.05,2004,5,1.421941513
전국,2004.06,2004,6,1.421941513
전국,2004.07,2004,7,1.413279861
전국,2004.08,2004,8,1.401114891
전국,2004.09,2004,9,1.401114891
전국,2004.1,2004,10,1.401114891
전국,2004.11,2004,11,1.409608247
전국,2004.12,2004,12,1.407151776
전국,2005.01,2005,1,1.3934424
전국,2005.02,2005,2,1.387822768
전국,2005.03,2005,3,1.379496354
전국,2005.04,2005,4,1.378105976
전국,2005.05,2005,5,1.379496354
전국,2005.06,2005,6,1.383665704
전국,2005.07,2005,7,1.378105976
전국,2005.08,2005,8,1.373988424
전국,2005.09,2005,9,1.367174168
전국,2005.1,2005,10,1.369895403
전국,2005.11,2005,11,1.375370502
전국,2005.12,2005,12,1.371250919
전국,2006.01,2006,1,1.383565286
전국,2006.02,2006,2,1.380812141
전국,2006.03,2006,3,1.372690466
전국,2006.04,2006,4,1.371334089
전국,2006.05,2006,5,1.368665352
전국,2006.06,2006,6,1.371334089
전국,2006.07,2006,7,1.365989055
전국,2006.08,2006,8,1.358040316
전국,2006.09,2006,9,1.354100536
전국,2006.1,2006,10,1.360685526
전국,2006.11,2006,11,1.367316913
전국,2006.12,2006,12,1.363323204
전국,2007.01,2007,1,1.366058356
전국,2007.02,2007,2,1.356817326
전국,2007.03,2007,3,1.348987917
전국,2007.04,2007,4,1.343835599
전국,2007.05,2007,5,1.342540727
전국,2007.06,2007,6,1.342540727
전국,2007.07,2007,7,1.337420329
전국,2007.08,2007,8,1.336154869
전국,2007.09,2007,9,1.328561439
전국,2007.1,2007,10,1.326066267
전국,2007.11,2007,11,1.326066267
전국,2007.12,2007,12,1.32107053
전국,2008.01,2008,1,1.314903362
전국,2008.02,2008,2,1.309974803
전국,2008.03,2008,3,1.297869962
전국,2008.04,2008,4,1.290704281
전국,2008.05,2008,5,1.280142105
전국,2008.06,2008,6,1.272023469
전국,2008.07,2008,7,1.262861493
전국,2008.08,2008,8,1.265139592
전국,2008.09,2008,9,1.263991872
전국,2008.1,2008,10,1.265139592
전국,2008.11,2008,11,1.268564492
전국,2008.12,2008,12,1.268564492
전국,2009.01,2009,1,1.267410552
전국,2009.02,2009,2,1.258329821
전국,2009.03,2009,3,1.249378288
전국,2009.04,2009,4,1.246070926
전국,2009.05,2009,5,1.246070926
전국,2009.06,2009,6,1.247171433
전국,2009.07,2009,7,1.242751469
전국,2009.08,2009,8,1.238362723
전국,2009.09,2009,9,1.237263051
전국,2009.1,2009,10,1.240553214
전국,2009.11,2009,11,1.238362723
전국,2009.12,2009,12,1.234004865
전국,2010.01,2010,1,1.224473058
전국,2010.02,2010,2,1.222010453
전국,2010.03,2010,3,1.219543503
전국,2010.04,2010,4,1.214653479
전국,2010.05,2010,5,1.213426528
전국,2010.06,2010,6,1.214653479
전국,2010.07,2010,7,1.212216113
전국,2010.08,2010,8,1.230475377
전국,2010.09,2010,9,1.22075409
전국,2010.1,2010,10,1.22075409
전국,2010.11,2010,11,1.226808276
전국,2010.12,2010,12,1.221957341
전국,2011.01,2011,1,1.207604657
전국,2011.02,2011,2,1.199399271
전국,2011.03,2011,3,1.194748874
전국,2011.04,2011,4,1.193585223
전국,2011.05,2011,5,1.191291328
전국,2011.06,2011,6,1.188992974
전국,2011.07,2011,7,1.183292269
전국,2011.08,2011,8,1.198628551
전국,2011.09,2011,9,1.199779298
전국,2011.1,2011,10,1.202060853
전국,2011.11,2011,11,1.200918992
전국,2011.12,2011,12,1.196359995
전국,2012.01,2012,1,1.191490761
전국,2012.02,2012,2,1.186989562
전국,2012.03,2012,3,1.186652695
전국,2012.04,2012,4,1.186769281
전국,2012.05,2012,5,1.184648411
전국,2012.06,2012,6,1.186328965
전국,2012.07,2012,7,1.189014787
전국,2012.08,2012,8,1.209101301
전국,2012.09,2012,9,1.200514528
전국,2012.1,2012,10,1.202763729
전국,2012.11,2012,11,1.207051331
전국,2012.12,2012,12,1.204903716
전국,2013.01,2013,1,1.221820809
전국,2013.02,2013,2,1.217749737
전국,2013.03,2013,3,1.218876409
전국,2013.04,2013,4,1.220570333
전국,2013.05,2013,5,1.220570333
전국,2013.06,2013,6,1.22205803
전국,2013.07,2013,7,1.219440528
전국,2013.08,2013,8,1.215137605
전국,2013.09,2013,9,1.212783267
전국,2013.1,2013,10,1.216494513
전국,2013.11,2013,11,1.249645603
전국,2013.12,2013,12,1.248130946
전국,2014.01,2014,1,1.241459511
전국,2014.02,2014,2,1.238157055
전국,2014.03,2014,3,1.235882022
전국,2014.04,2014,4,1.235081835
전국,2014.05,2014,5,1.233053227
전국,2014.06,2014,6,1.234636279
전국,2014.07,2014,7,1.23283114
전국,2014.08,2014,8,1.230679739
전국,2014.09,2014,9,1.23147423
전국,2014.1,2014,10,1.23519983
전국,2014.11,2014,11,1.237696112
전국,2014.12,2014,12,1.237814608
전국,2015.01,2015,1,1.228416259
전국,2015.02,2015,2,1.22914354
전국,2015.03,2015,3,1.229026597
전국,2015.04,2015,4,1.228649934
전국,2015.05,2015,5,1.225218674
전국,2015.06,2015,6,1.224973396
전국,2015.07,2015,7,1.144804375
전국,2015.08,2015,8,1.143205235
전국,2015.09,2015,9,1.146178632
전국,2015.1,2015,10,1.224238148
전국,2015.11,2015,11,1.226562995
전국,2015.12,2015,12,1.222898917
전국,2016.01,2016,1,1.220818632
전국,2016.02,2016,2,1.215610623
전국,2016.03,2016,3,1.21875819
전국,2016.04,2016,4,1.216462809
