시도,시군구,year,month,grdp_month
강원특별자치도,강릉시,2010,1,308451.8737
강원특별자치도,강릉시,2010,2,322260.2607
강원특별자치도,강릉시,2010,3,332824.2168
강원특별자치도,강릉시,2010,4,354194.2507
강원특별자치도,강릉시,2010,5,344438.6086
강원특별자치도,강릉시,2010,6,346267.5587
강원특별자치도,강릉시,2010,7,334005.0257
강원특별자치도,강릉시,2010,8,336575.2407
강원특별자치도,강릉시,2010,9,341954.0674
강원특별자치도,강릉시,2010,10,353844.1055
강원특별자치도,강릉시,2010,11,374368.5759
강원특별자치도,강릉시,2010,12,371448.2157
강원특별자치도,강릉시,2011,1,346632.443
강원특별자치도,강릉시,2011,2,327113.9226
강원특별자치도,강릉시,2011,3,360414.7791
강원특별자치도,강릉시,2011,4,343068.8957
강원특별자치도,강릉시,2011,5,349012.8363
강원특별자치도,강릉시,2011,6,348548.0258
강원특별자치도,강릉시,2011,7,359622.4885
강원특별자치도,강릉시,2011,8,362622.6291
강원특별자치도,강릉시,2011,9,367013.6799
강원특별자치도,강릉시,2011,10,363693.1018
강원특별자치도,강릉시,2011,11,368379.9412
강원특별자치도,강릉시,2011,12,367605.257
강원특별자치도,강릉시,2012,1,350479.8312
강원특별자치도,강릉시,2012,2,371859.5507
강원특별자치도,강릉시,2012,3,374484.144
강원특별자치도,강릉시,2012,4,375889.5487
강원특별자치도,강릉시,2012,5,371142.7943
강원특별자치도,강릉시,2012,6,362966.8523
강원특별자치도,강릉시,2012,7,354692.5319
강원특별자치도,강릉시,2012,8,343073.3483
강원특별자치도,강릉시,2012,9,347756.8596
강원특별자치도,강릉시,2012,10,369196.3087
강원특별자치도,강릉시,2012,11,351431.9929
강원특별자치도,강릉시,2012,12,349155.2373
강원특별자치도,강릉시,2013,1,355784.2197
강원특별자치도,강릉시,2013,2,351141.2108
강원특별자치도,강릉시,2013,3,347622.8183
강원특별자치도,강릉시,2013,4,369131.5483
강원특별자치도,강릉시,2013,5,365486.2399
강원특별자치도,강릉시,2013,6,362401.4769
강원특별자치도,강릉시,2013,7,368648.5626
강원특별자치도,강릉시,2013,8,357853.655
강원특별자치도,강릉시,2013,9,360843.2309
강원특별자치도,강릉시,2013,10,387287.5817
강원특별자치도,강릉시,2013,11,361040.6558
강원특별자치도,강릉시,2013,12,359605.8003
강원특별자치도,강릉시,2014,1,391176.2282
강원특별자치도,강릉시,2014,2,391688.3955
강원특별자치도,강릉시,2014,3,396955.8685
강원특별자치도,강릉시,2014,4,384469.4528
강원특별자치도,강릉시,2014,5,380330.991
강원특별자치도,강릉시,2014,6,376786.9424
강원특별자치도,강릉시,2014,7,375459.7935
강원특별자치도,강릉시,2014,8,365926.7515
강원특별자치도,강릉시,2014,9,375571.9469
강원특별자치도,강릉시,2014,10,378648.6895
강원특별자치도,강릉시,2014,11,368846.4792
강원특별자치도,강릉시,2014,12,357040.461
강원특별자치도,강릉시,2015,1,391614.2747
강원특별자치도,강릉시,2015,2,398979.8001
강원특별자치도,강릉시,2015,3,393025.7039
강원특별자치도,강릉시,2015,4,388573.9692
강원특별자치도,강릉시,2015,5,376436.4688
강원특별자치도,강릉시,2015,6,400553.3262
강원특별자치도,강릉시,2015,7,398841.4247
강원특별자치도,강릉시,2015,8,412228.2574
강원특별자치도,강릉시,2015,9,413212.6996
강원특별자치도,강릉시,2015,10,385264.8201
강원특별자치도,강릉시,2015,11,389922.1411
강원특별자치도,강릉시,2015,12,391713.1142
강원특별자치도,강릉시,2016,1,387763.9599
강원특별자치도,강릉시,2016,2,378641.7024
강원특별자치도,강릉시,2016,3,384163.0687
강원특별자치도,강릉시,2016,4,392641.1668
강원특별자치도,강릉시,2016,5,414058.467
강원특별자치도,강릉시,2016,6,415566.8402
강원특별자치도,강릉시,2016,7,407612.8719
강원특별자치도,강릉시,2016,8,432403.0067
강원특별자치도,강릉시,2016,9,424685.0967
강원특별자치도,강릉시,2016,10,414370.5442
강원특별자치도,강릉시,2016,11,435883.8681
강원특별자치도,강릉시,2016,12,409777.4075
강원특별자치도,강릉시,2017,1,397371.8374
강원특별자치도,강릉시,2017,2,397000.6262
강원특별자치도,강릉시,2017,3,415178.2533
강원특별자치도,강릉시,2017,4,420691.7167
강원특별자치도,강릉시,2017,5,430468.2479
강원특별자치도,강릉시,2017,6,445961.4317
강원특별자치도,강릉시,2017,7,414310.7913
강원특별자치도,강릉시,2017,8,431488.1018
강원특별자치도,강릉시,2017,9,453088.6871
강원특별자치도,강릉시,2017,10,426076.2331
