지역,거래일,시간,계량값
강원도,2013-01-01,00,2.556454262
강원도,2013-01-01,01,2.382379747
강원도,2013-01-01,02,2.006861075
강원도,2013-01-01,03,1.957910567
강원도,2013-01-01,04,1.396021146
강원도,2013-01-01,05,1.462710207
강원도,2013-01-01,06,1.326538976
강원도,2013-01-01,07,1.302918957
강원도,2013-01-01,08,1.140769474
강원도,2013-01-01,09,1.047084242
강원도,2013-01-01,10,1.109774413
강원도,2013-01-01,11,1.171463616
강원도,2013-01-01,12,1.193628279
강원도,2013-01-01,13,1.195895321
강원도,2013-01-01,14,1.17619121
강원도,2013-01-01,15,1.177715503
강원도,2013-01-01,16,1.159449157
강원도,2013-01-01,17,1.448349067
강원도,2013-01-01,18,2.016326559
강원도,2013-01-01,19,2.012052959
강원도,2013-01-01,20,2.028538599
강원도,2013-01-01,21,2.064070055
강원도,2013-01-01,22,2.536420206
강원도,2013-01-01,23,2.881086044
강원도,2013-01-02,00,2.486219483
강원도,2013-01-02,01,1.624492298
강원도,2013-01-02,02,1.510037562
강원도,2013-01-02,03,1.555163475
강원도,2013-01-02,04,1.569034163
강원도,2013-01-02,05,1.61458759
강원도,2013-01-02,06,1.750707128
강원도,2013-01-02,07,2.016310655
강원도,2013-01-02,08,2.599450518
강원도,2013-01-02,09,3.642882282
강원도,2013-01-02,10,4.29354404
강원도,2013-01-02,11,4.109293128
강원도,2013-01-02,12,2.994797106
강원도,2013-01-02,13,3.344183902
강원도,2013-01-02,14,3.785602939
강원도,2013-01-02,15,3.815766875
강원도,2013-01-02,16,4.112972941
강원도,2013-01-02,17,4.306412842
강원도,2013-01-02,18,3.982272922
강원도,2013-01-02,19,3.332616336
강원도,2013-01-02,20,3.068071408
강원도,2013-01-02,21,2.600783051
강원도,2013-01-02,22,2.687870236
강원도,2013-01-02,23,3.523560272
강원도,2013-01-03,00,3.23635771
강원도,2013-01-03,01,3.069690186
강원도,2013-01-03,02,3.057324236
강원도,2013-01-03,03,3.076358889
강원도,2013-01-03,04,2.899064867
강원도,2013-01-03,05,2.728015603
강원도,2013-01-03,06,2.324544054
강원도,2013-01-03,07,2.651168013
강원도,2013-01-03,08,3.816004727
강원도,2013-01-03,09,4.526426252
강원도,2013-01-03,10,4.607258255
강원도,2013-01-03,11,4.542282535
강원도,2013-01-03,12,3.108518508
강원도,2013-01-03,13,3.677423008
강원도,2013-01-03,14,4.04605351
강원도,2013-01-03,15,3.9861835
강원도,2013-01-03,16,4.280374785
강원도,2013-01-03,17,4.5604417
강원도,2013-01-03,18,4.480119839
강원도,2013-01-03,19,3.877471006
강원도,2013-01-03,20,3.121815108
강원도,2013-01-03,21,2.92774563
강원도,2013-01-03,22,3.068600024
강원도,2013-01-03,23,3.979841666
강원도,2013-01-04,00,3.072519838
강원도,2013-01-04,01,3.06026532
강원도,2013-01-04,02,3.047903648
강원도,2013-01-04,03,3.048913038
강원도,2013-01-04,04,3.03626337
강원도,2013-01-04,05,3.022545186
강원도,2013-01-04,06,3.302413096
강원도,2013-01-04,07,3.66536696
강원도,2013-01-04,08,3.879152427
강원도,2013-01-04,09,4.036258267
강원도,2013-01-04,10,4.240313658
강원도,2013-01-04,11,4.241533
강원도,2013-01-04,12,3.094809643
강원도,2013-01-04,13,3.626222485
강원도,2013-01-04,14,4.219048914
강원도,2013-01-04,15,3.899723869
강원도,2013-01-04,16,3.979585108
강원도,2013-01-04,17,3.88185493
강원도,2013-01-04,18,3.76106371
강원도,2013-01-04,19,3.120535412
강원도,2013-01-04,20,3.026605807
강원도,2013-01-04,21,2.866358488
강원도,2013-01-04,22,3.103243716
강원도,2013-01-04,23,3.323539004
강원도,2013-01-05,00,3.000348869
강원도,2013-01-05,01,2.947521117
강원도,2013-01-05,02,3.011272909
강원도,2013-01-05,03,3.006594743
강원도,2013-01-05,04,3.102653947
강원도,2013-01-05,05,3.155410189
강원도,2013-01-05,06,3.197726471
강원도,2013-01-05,07,3.140333364
강원도,2013-01-05,08,3.129351213
강원도,2013-01-05,09,3.126104926
강원도,2013-01-05,10,3.482284136
강원도,2013-01-05,11,3.523904401
강원도,2013-01-05,12,2.680713793
강원도,2013-01-05,13,2.648413761
강원도,2013-01-05,14,2.634893095
강원도,2013-01-05,15,2.636502393
강원도,2013-01-05,16,2.661334167
