"연도","시도","시군구","계약종별","월","사용량(MWh)","t","MA12","y_ts"
2004,"강원도","강릉시","일반용",6,25418,6,26533,-0.0429316568293657
2004,"강원도","강릉시","일반용",7,27049,7,26718.5833333333,0.0122907077316119
2004,"강원도","강릉시","일반용",8,33575,8,26798.8333333333,0.225423388178359
2004,"강원도","강릉시","일반용",9,27998,9,26866.75,0.0412436164759982
2004,"강원도","강릉시","일반용",10,24429,10,27057.25,-0.102184040409004
2004,"강원도","강릉시","일반용",11,25404,11,27113.75,-0.0651343373449804
2004,"강원도","강릉시","일반용",12,25864,12,27276.1666666667,-0.053161264594472
2005,"강원도","강릉시","일반용",1,29278,13,27542.4166666667,0.0611091401487755
2005,"강원도","강릉시","일반용",2,28677,14,27704,0.0345186006496144
2005,"강원도","강릉시","일반용",3,25971,15,28014.3333333333,-0.0757357530568167
2005,"강원도","강릉시","일반용",4,27169,16,28191,-0.0369261606080761
2005,"강원도","강릉시","일반용",5,24533,17,28318.0833333333,-0.143481437609581
2005,"강원도","강릉시","일반용",6,27367,18,28654.75,-0.045981315500689
2005,"강원도","강릉시","일반용",7,30244,19,28947.25,0.0438226095534061
2005,"강원도","강릉시","일반용",8,35514,20,29155.0833333333,0.197297701980437
2005,"강원도","강릉시","일반용",9,31722,21,29320.0833333333,0.078737727265956
2005,"강원도","강릉시","일반용",10,26549,22,29474.9166666667,-0.104547536969518
2005,"강원도","강릉시","일반용",11,26929,23,29671.4166666667,-0.0969804077814936
2005,"강원도","강릉시","일반용",12,29904,24,29674.25,0.00771258433635765
2006,"강원도","강릉시","일반용",1,32788,25,29539.25,0.104342707312505
2006,"강원도","강릉시","일반용",2,31171,26,29481.6666666667,0.0557195741675174
2006,"강원도","강릉시","일반용",3,27951,27,29593.6666666667,-0.0571073973360986
2006,"강원도","강릉시","일반용",4,29027,28,29570.8333333333,-0.018562083857536
2006,"강원도","강릉시","일반용",5,26891,29,29691,-0.0990523114474394
2006,"강원도","강릉시","일반용",6,27401,30,29748.1666666667,-0.0821879963644882
2006,"강원도","강릉시","일반용",7,28624,31,29707.8333333333,-0.0371652328638258
2006,"강원도","강릉시","일반용",8,34823,32,29795.25,0.155929103176208
2006,"강원도","강릉시","일반용",9,33066,33,29824.25,0.103183743150376
2006,"강원도","강릉시","일반용",10,26275,34,29908.5,-0.129524804169912
2006,"강원도","강릉시","일반용",11,28371,35,29970.4166666667,-0.0548432873221247
2006,"강원도","강릉시","일반용",12,30590,36,30065.5833333333,0.017292051453606
2007,"강원도","강릉시","일반용",1,32304,37,30146.1666666667,0.0691332885479655
2007,"강원도","강릉시","일반용",2,32220,38,30256.1666666667,0.0628873572986302
2007,"강원도","강릉시","일반용",3,28299,39,30336.25,-0.0695168987365836
2007,"강원도","강릉시","일반용",4,30038,40,30512.4166666667,-0.0156704578108348
2007,"강원도","강릉시","일반용",5,27634,41,30609.25,-0.102255352225871
2007,"강원도","강릉시","일반용",6,28543,42,30704.5833333333,-0.0730002155436402
2007,"강원도","강릉시","일반용",7,29591,43,30929,-0.0442239940620047
2007,"강원도","강릉시","일반용",8,36143,44,31185,0.14754608225548
2007,"강원도","강릉시","일반용",9,34027,45,31466.1666666667,0.0782414325920396
2007,"강원도","강릉시","일반용",10,28389,46,31530.1666666667,-0.104943013319826
2007,"강원도","강릉시","일반용",11,29533,47,31601.9166666667,-0.0677094905644103
2007,"강원도","강릉시","일반용",12,31734,48,31674.25,0.00188461336450188
2008,"강원도","강릉시","일반용",1,34997,49,31875.6666666667,0.0934194252374663
2008,"강원도","강릉시","일반용",2,35292,50,31997.1666666667,0.0980089521468431
2008,"강원도","강릉시","일반용",3,31673,51,31854.8333333333,-0.00572454057864772
2008,"강원도","강릉시","일반용",4,30806,52,31925.75,-0.0357034180010803
2008,"강원도","강릉시","일반용",5,28495,53,31998.75,-0.115968206249804
2008,"강원도","강릉시","일반용",6,29411,54,32118.25,-0.0880556503782834
2008,"강원도","강릉시","일반용",7,32008,55,32325.75,-0.00987825468997681
2008,"강원도","강릉시","일반용",8,37601,56,32391.75,0.149126885041843
2008,"강원도","강릉시","일반용",9,32319,57,32428.75,-0.00339008243869243
2008,"강원도","강릉시","일반용",10,29240,58,32580.9166666667,-0.108189103767192
2008,"강원도","강릉시","일반용",11,30409,59,32677.9166666667,-0.0719609012408908
2008,"강원도","강릉시","일반용",12,33168,60,32769.9166666667,0.0120746359622335
2009,"강원도","강릉시","일반용",1,37487,61,32818.1666666667,0.133011982353032
2009,"강원도","강릉시","일반용",2,36084,62,32623.5,0.100816666220004
2009,"강원도","강릉시","일반용",3,32117,63,32773.5,-0.0202347770464536
2009,"강원도","강릉시","일반용",4,32632,64,32830.0833333333,-0.00605186782378687
2009,"강원도","강릉시","일반용",5,29659,65,33049.6666666667,-0.108245859818404
2009,"강원도","강릉시","일반용",6,30515,66,33284.4166666667,-0.0868709534907896
2009,"강원도","강릉시","일반용",7,32587,67,33567.0833333333,-0.0296324882521795
2009,"강원도","강릉시","일반용",8,35265,68,33848.5,0.0409962854299484
2009,"강원도","강릉시","일반용",9,34119,69,34065.5,0.00156927193069263
2009,"강원도","강릉시","일반용",10,29919,70,34322.75,-0.137314669526956
2009,"강원도","강릉시","일반용",11,33044,71,34471.5833333333,-0.0422953064357185
2009,"강원도","강릉시","일반용",12,35985,72,34567.6666666667,0.0401834292062198
2010,"강원도","강릉시","일반용",1,40879,73,34723.5833333333,0.163197392684786
2010,"강원도","강릉시","일반용",2,39461,74,35330,0.110580381020911
2010,"강원도","강릉시","일반용",3,34721,75,35718.8333333333,-0.0283334028133635
