지역,거래일,시간,계량값
강원도,2022-01-01,00,5.898963379
강원도,2022-01-01,01,5.150631491
강원도,2022-01-01,02,5.03810713
강원도,2022-01-01,03,5.093389552
강원도,2022-01-01,04,5.104437161
강원도,2022-01-01,05,5.047013824
강원도,2022-01-01,06,4.948733333
강원도,2022-01-01,07,4.858000265
강원도,2022-01-01,08,5.129269955
강원도,2022-01-01,09,5.195774175
강원도,2022-01-01,10,5.274334361
강원도,2022-01-01,11,5.09590266
강원도,2022-01-01,12,4.826819815
강원도,2022-01-01,13,4.925841219
강원도,2022-01-01,14,5.076987862
강원도,2022-01-01,15,5.25595132
강원도,2022-01-01,16,5.811869473
강원도,2022-01-01,17,6.063196936
강원도,2022-01-01,18,6.600525816
강원도,2022-01-01,19,6.977965555
강원도,2022-01-01,20,6.719938353
강원도,2022-01-01,21,6.710602232
강원도,2022-01-01,22,6.999987633
강원도,2022-01-01,23,6.98134579
강원도,2022-01-02,00,6.931066341
강원도,2022-01-02,01,6.061219061
강원도,2022-01-02,02,5.77830099
강원도,2022-01-02,03,5.804294205
강원도,2022-01-02,04,5.741523246
강원도,2022-01-02,05,5.843908223
강원도,2022-01-02,06,5.832096945
강원도,2022-01-02,07,5.715536556
강원도,2022-01-02,08,5.129112811
강원도,2022-01-02,09,5.135090281
강원도,2022-01-02,10,5.288679778
강원도,2022-01-02,11,4.777223449
강원도,2022-01-02,12,4.625518776
강원도,2022-01-02,13,4.609667922
강원도,2022-01-02,14,4.644843456
강원도,2022-01-02,15,5.053917595
강원도,2022-01-02,16,5.112216681
강원도,2022-01-02,17,5.104435016
강원도,2022-01-02,18,5.325515036
강원도,2022-01-02,19,5.225019875
강원도,2022-01-02,20,4.935440364
강원도,2022-01-02,21,4.857317194
강원도,2022-01-02,22,4.920670531
강원도,2022-01-02,23,5.310442765
강원도,2022-01-03,00,4.834935629
강원도,2022-01-03,01,4.792775937
강원도,2022-01-03,02,4.847582068
강원도,2022-01-03,03,4.754445558
강원도,2022-01-03,04,4.804331168
강원도,2022-01-03,05,5.004795216
강원도,2022-01-03,06,5.621222049
강원도,2022-01-03,07,6.427527563
강원도,2022-01-03,08,7.396732075
강원도,2022-01-03,09,7.967956743
강원도,2022-01-03,10,7.69707313
강원도,2022-01-03,11,7.28125259
강원도,2022-01-03,12,6.523463492
강원도,2022-01-03,13,6.751221643
강원도,2022-01-03,14,7.636043235
강원도,2022-01-03,15,8.040460967
강원도,2022-01-03,16,8.503218859
강원도,2022-01-03,17,8.224329664
강원도,2022-01-03,18,8.122892424
강원도,2022-01-03,19,7.940099766
강원도,2022-01-03,20,8.067331034
강원도,2022-01-03,21,7.699237975
강원도,2022-01-03,22,7.362443148
강원도,2022-01-03,23,7.418695307
강원도,2022-01-04,00,6.912688906
강원도,2022-01-04,01,7.014136471
강원도,2022-01-04,02,6.973450157
강원도,2022-01-04,03,6.857095641
강원도,2022-01-04,04,6.74340467
강원도,2022-01-04,05,6.893772366
강원도,2022-01-04,06,6.853953218
강원도,2022-01-04,07,6.985187867
강원도,2022-01-04,08,8.071676513
강원도,2022-01-04,09,8.10586965
강원도,2022-01-04,10,7.551555534
강원도,2022-01-04,11,7.134614617
강원도,2022-01-04,12,5.921250561
강원도,2022-01-04,13,6.029484425
강원도,2022-01-04,14,6.108745258
강원도,2022-01-04,15,6.982235946
강원도,2022-01-04,16,8.125699713
