id,term,estimate,std.error,statistic,p.value
경기도동두천시_주택용,(Intercept),5.832328203,0.749632175,7.780253297,1.48E-12
경기도동두천시_주택용,log(grdp_month),0.000517813,0.062926116,0.008228911,0.993446152
경기도동두천시_주택용,log(real_powerCPI),-0.325947164,0.055776103,-5.843849761,3.46E-08
경기도동두천시_주택용,TE_cooling,1.61190898,0.209719958,7.686006598,2.48E-12
경기도동두천시_주택용,TE_heating,1.25720439,0.115156162,10.91738706,2.01E-20
경기도수원시_일반용,(Intercept),1.830929813,1.04085712,1.759059699,0.08076776
경기도수원시_일반용,log(grdp_month),0.475494755,0.07017885,6.775470891,3.23E-10
경기도수원시_일반용,log(real_powerCPI),-0.375258585,0.081680238,-4.594239619,9.64E-06
경기도수원시_일반용,TE_cooling,0.801086502,0.069485144,11.52888892,5.35E-22
경기도수원시_일반용,TE_heating,1.054422613,0.082100607,12.84305505,2.21E-25
경기도수원시_주택용,(Intercept),2.65637961,1.211399191,2.192819369,0.029983619
경기도수원시_주택용,log(grdp_month),0.39006422,0.081666088,4.776330406,4.48E-06
경기도수원시_주택용,log(real_powerCPI),-0.581603806,0.096202191,-6.045639886,1.30E-08
경기도수원시_주택용,TE_cooling,1.21475835,0.21383916,5.680710444,7.56E-08
경기도수원시_주택용,TE_heating,0.956286147,0.171548186,5.574446267,1.25E-07
경기도양평군_일반용,(Intercept),1.851560202,1.777664009,1.041569269,0.29941965
경기도양평군_일반용,log(grdp_month),0.39641935,0.14802787,2.678004826,0.008298846
경기도양평군_일반용,log(real_powerCPI),-0.7800326,0.176273519,-4.425126378,1.93E-05
경기도양평군_일반용,TE_cooling,0.153608549,0.187443468,0.819492672,0.413908301
경기도양평군_일반용,TE_heating,1.497086758,0.1215494,12.31669392,4.99E-24
경기도양평군_주택용,(Intercept),-2.331837557,1.388979421,-1.678813611,0.095435051
경기도양평군_주택용,log(grdp_month),0.704325294,0.115691397,6.087966041,1.05E-08
경기도양평군_주택용,log(real_powerCPI),-0.663620124,0.138338153,-4.797086776,4.10E-06
경기도양평군_주택용,TE_cooling,0.457279021,0.464618471,0.984203274,0.32672561
경기도양평군_주택용,TE_heating,1.397238207,0.227833544,6.132715065,8.45E-09
경기도이천시_일반용,(Intercept),-0.476409033,0.598281685,-0.796295533,0.42721818
경기도이천시_일반용,log(grdp_month),0.549115092,0.04116028,13.3408978,1.18E-26
경기도이천시_일반용,log(real_powerCPI),-0.065390922,0.150170136,-0.43544558,0.663914446
경기도이천시_일반용,TE_cooling,0.912959482,0.119571068,7.635287487,3.28E-12
경기도이천시_일반용,TE_heating,1.172011491,0.075018899,15.62288312,2.12E-32
경기도이천시_주택용,(Intercept),4.228028609,0.606953978,6.965978912,1.19E-10
경기도이천시_주택용,log(grdp_month),0.169246184,0.04179005,4.049915799,8.48E-05
경기도이천시_주택용,log(real_powerCPI),-0.499221703,0.155020539,-3.220358458,0.001594263
경기도이천시_주택용,TE_cooling,1.411287963,0.343320597,4.110699955,6.71E-05
경기도이천시_주택용,TE_heating,1.007371641,0.164559349,6.121631192,8.92E-09
경기도파주시_일반용,(Intercept),-2.310626671,1.067426801,-2.164669904,0.032120679
경기도파주시_일반용,log(grdp_month),0.707232885,0.074129343,9.54052547,6.65E-17
경기도파주시_일반용,log(real_powerCPI),-0.625022206,0.12674823,-4.931210531,2.30E-06
경기도파주시_일반용,TE_cooling,0.766506602,0.138658195,5.528029574,1.55E-07
경기도파주시_일반용,TE_heating,1.138746293,0.081211601,14.02196583,2.17E-28
경기도파주시_주택용,(Intercept),0.133044598,0.961267345,0.138405407,0.890120333
경기도파주시_주택용,log(grdp_month),0.509187923,0.066788384,7.623899498,3.49E-12
경기도파주시_주택용,log(real_powerCPI),-0.611828738,0.114560122,-5.340678111,3.69E-07
경기도파주시_주택용,TE_cooling,4.468353186,1.203520812,3.712734456,0.000295901
경기도파주시_주택용,TE_heating,1.124025144,0.175540613,6.403219894,2.18E-09
경상남도거제시_일반용,(Intercept),3.571737586,1.577710708,2.263873578,0.026324597
경상남도거제시_일반용,log(grdp_month),0.257963596,0.117222204,2.200637657,0.030682037
경상남도거제시_일반용,log(real_powerCPI),-0.050693898,0.169970559,-0.298251052,0.766294596
경상남도거제시_일반용,TE_cooling,0.970268448,0.14488455,6.696838598,2.82E-09
경상남도거제시_일반용,TE_heating,1.349223143,0.149921391,8.999537242,9.75E-14
경상남도거창군_일반용,(Intercept),2.913849053,3.874787571,0.752002271,0.4542844
경상남도거창군_일반용,log(grdp_month),0.231062012,0.330009158,0.700168484,0.485878962
경상남도거창군_일반용,log(real_powerCPI),-0.592969994,0.141608135,-4.187400628,7.28E-05
경상남도거창군_일반용,TE_cooling,0.189497282,0.227325193,0.833595606,0.407022257
경상남도거창군_일반용,TE_heating,1.741272972,0.174269744,9.991826089,1.14E-15
경상남도거창군_주택용,(Intercept),4.651721098,2.950964271,1.576339349,0.118943929
경상남도거창군_주택용,log(grdp_month),0.062191391,0.251420411,0.247360152,0.805271249
경상남도거창군_주택용,log(real_powerCPI),-0.373760075,0.107011732,-3.492701854,0.000786277
경상남도거창군_주택용,TE_cooling,1.423296033,0.681853145,2.087393807,0.040076147
경상남도거창군_주택용,TE_heating,1.421121759,0.233000781,6.099214562,3.71E-08
경상남도김해시_일반용,(Intercept),6.929049845,3.493147248,1.9836123,0.050773174
경상남도김해시_일반용,log(grdp_month),0.06383388,0.249127154,0.256230119,0.798439208
경상남도김해시_일반용,log(real_powerCPI),-0.474388601,0.116061246,-4.087398841,0.000104069
경상남도김해시_일반용,TE_cooling,1.149802133,0.180531926,6.368968397,1.17E-08
경상남도김해시_일반용,TE_heating,0.791804789,0.108593985,7.291423976,2.06E-10
경상남도김해시_주택용,(Intercept),15.73179335,4.201696945,3.744152317,0.000342103
경상남도김해시_주택용,log(grdp_month),-0.579303156,0.299656503,-1.93322404,0.056791331
경상남도김해시_주택용,log(real_powerCPI),-0.743024575,0.137510825,-5.403389705,6.72E-07
