id,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
경기도동두천시_주택용,0.551508476,0.538602246,0.065695366,42.73195489,2.46E-23,4,190.289958,-368.579916,-350.7610362,0.599907471,139,144
경기도수원시_일반용,0.746406535,0.739108882,0.073950142,102.2803452,2.05E-40,4,173.2457266,-334.4914533,-316.6725735,0.76013866,139,144
경기도수원시_주택용,0.637427097,0.626993344,0.085677366,61.09279376,1.08E-29,4,152.0492749,-292.0985499,-274.2796701,1.020344941,139,144
경기도양평군_일반용,0.696252018,0.687511068,0.118615933,79.65405208,5.35E-35,4,105.2057683,-198.4115365,-180.5926567,1.955693784,139,144
경기도양평군_주택용,0.727657692,0.719820503,0.092197194,92.8467741,2.84E-38,4,141.4881689,-270.9763378,-253.157458,1.181544849,139,144
경기도이천시_일반용,0.871865653,0.868178334,0.089389162,236.449728,5.92E-61,4,145.9421262,-279.8842525,-262.0653727,1.11066869,139,144
경기도이천시_주택용,0.64764222,0.637502427,0.089302478,63.87135003,1.51E-30,4,146.0818359,-280.1636718,-262.344792,1.108515625,139,144
경기도파주시_일반용,0.818341483,0.813113899,0.097756721,156.5429847,1.91E-50,4,133.0566437,-254.1132875,-236.2944077,1.328336347,139,144
경기도파주시_주택용,0.742649548,0.73524378,0.088076061,100.2798777,5.66E-40,4,148.073135,-284.14627,-266.3273902,1.078277557,139,144
경상남도거제시_일반용,0.608474563,0.588650491,0.081993909,30.69372127,2.05E-15,4,93.47992528,-174.9598506,-160.3749498,0.53111709,79,84
경상남도거창군_일반용,0.641094636,0.622922212,0.099769085,35.27843359,6.95E-17,4,76.99799998,-141.996,-127.4110992,0.786355749,79,84
경상남도거창군_주택용,0.403774046,0.37358539,0.07637928,13.37502563,2.28E-08,4,99.43833996,-186.8766799,-172.2917791,0.460869761,79,84
경상남도김해시_일반용,0.598957717,0.578651779,0.086059107,29.49667755,5.22E-15,4,89.41521699,-166.830434,-152.2455332,0.585087421,79,84
경상남도김해시_주택용,0.467181937,0.440203808,0.102609495,17.31706169,3.08E-10,4,74.63994261,-137.2798852,-122.6949844,0.831767971,79,84
경상남도남해군_일반용,0.533594762,0.509979307,0.099642439,22.59515054,1.82E-12,4,77.10469615,-142.2093923,-127.6244915,0.784360638,79,84
경상남도남해군_주택용,0.337335762,0.303783143,0.095693464,10.05393219,1.25E-06,4,80.50150244,-149.0030049,-134.4181041,0.723421885,79,84
경상남도밀양시_주택용,0.413471245,0.383773587,0.089956426,13.92268839,1.22E-08,4,85.69476888,-159.3895378,-144.804637,0.639280529,79,84
경상남도산청군_일반용,0.559792155,0.53750315,0.097921575,25.11517041,1.94E-13,4,78.56808247,-145.1361649,-130.5512642,0.757502154,79,84
경상남도양산시_일반용,0.668210573,0.651411108,0.085829902,39.77570635,3.25E-18,4,89.63923667,-167.2784733,-152.6935725,0.581974988,79,84
경상남도양산시_주택용,0.611216388,0.591531142,0.10336788,31.04946631,1.56E-15,4,74.02138328,-136.0427666,-121.4578658,0.84410857,79,84
경상남도의령군_일반용,0.574663074,0.553127027,0.114770376,26.68377702,5.12E-14,4,65.23169677,-118.4633935,-103.8784927,1.040606894,79,84
경상남도진주시_일반용,0.613697377,0.59413775,0.083424298,31.37572065,1.22E-15,4,92.02717504,-172.0543501,-157.4694493,0.549809468,79,84
경상남도진주시_주택용,0.418419934,0.388972842,0.100007535,14.20921069,8.83E-09,4,76.79747778,-141.5949556,-127.0100548,0.790119054,79,84
경상남도창원시_주택용,0.5206628,0.496392562,0.087638173,21.45272744,5.24E-12,4,87.88790195,-163.7758039,-149.1909031,0.606755505,79,84
경상남도통영시_일반용,0.590482665,0.56974761,0.088350063,28.47750661,1.18E-14,4,87.20832204,-162.4166441,-147.8317433,0.616652953,79,84
경상남도통영시_주택용,0.388754121,0.357804963,0.089054311,12.56105628,5.88E-08,4,86.54140311,-161.0828062,-146.4979054,0.626522955,79,84
경상남도함양군_일반용,0.456319489,0.428791362,0.102361272,16.57648146,6.69E-10,4,74.84339322,-137.6867864,-123.1018857,0.827748578,79,84
경상남도합천군_일반용,0.583537398,0.562450684,0.113522386,27.67322575,2.26E-14,4,66.15009795,-120.3001959,-105.7152951,1.018099242,79,84
경상북도경주시_일반용,0.632371948,0.61375787,0.078302853,33.97277743,1.77E-16,4,97.34904304,-182.6980861,-168.1131853,0.484375607,79,84
경상북도경주시_주택용,0.376804053,0.345249828,0.092163958,11.94147697,1.23E-07,4,83.65829463,-155.3165893,-140.7316885,0.671041413,79,84
경상북도구미시_주택용,0.45351423,0.425844064,0.099560624,16.39000781,8.15E-10,4,77.173696,-142.347392,-127.7624912,0.783073107,79,84
