기상청지역,한전_시군구,한전_시도
속초,속초시,강원도
철원,철원군,강원도
동두천,동두천시,경기도
파주,파주시,경기도
대관령,평창군,경기도
춘천,춘천시,강원도
백령도,옹진군,인천광역시
강릉,강릉시,강원도
동해,동해시,강원도
서울,종로구,서울특별시
인천,중구,인천광역시
원주,원주시,강원도
울릉도,울릉군,경상북도
수원,수원시,경기도
영월,영월군,강원도
충주,충주시,충청북도
서산,서산시,충청남도
울진,울진군,경상북도
청주,청주시,충청북도
대전,유성구,대전광역시
추풍령,영동군,충청북도
안동,안동시,경상북도
상주,상주시,경상북도
포항,포항시,경상북도
군산,군산시,전라북도
대구,동구,대구광역시
전주,전주시,전라북도
울산,중구,울산광역시
창원,창원시,경상남도
광주,북구,광주광역시
부산,중구,부산광역시
통영,통영시,경상남도
목포,목포시,전라남도
여수,여수시,전라남도
흑산도,신안군,전라남도
완도,완도군,전라남도
고창,고창군,전라북도
순천,순천시,전라남도
홍성,홍성군,충청남도
제주,제주시,제주특별자치도
서귀포,서귀포시,제주특별자치도
진주,진주시,경상남도
강화,강화군,인천광역시
양평,양평군,경기도
이천,이천시,경기도
인제,인제군,강원도
홍천,홍천군,강원도
태백,태백시,강원도
정선군,정선군,강원도
제천,제천시,충청북도
보은,보은군,충청북도
천안,천안시,충청남도
보령,보령시,충청남도
부여,부여군,충청남도
금산,금산군,충청남도
세종,세종시,세종특별자치시
부안,부안군,전라북도
임실,임실군,전라북도
정읍,정읍시,전라북도
남원,남원시,전라북도
장수,장수군,전라북도
영광군,영광군,전라남도
김해시,김해시,경상남도
순창군,순창군,전라북도
양산시,양산시,경상남도
보성군,보성군,전라남도
강진군,강진군,전라남도
장흥,장흥군,전라남도
해남,해남군,전라남도
고흥,고흥군,전라남도
의령군,의령군,경상남도
함양군,함양군,경상남도
광양시,광양시,전라남도
진도군,진도군,전라남도
봉화,봉화군,경상북도
영주,영주시,경상북도
문경,문경시,경상북도
청송군,청송군,경상북도
영덕,영덕군,경상북도
의성,의성군,경상북도
구미,구미시,경상북도
영천,영천시,경상북도
경주시,경주시,경상북도
거창,거창군,경상남도
합천,합천군,경상남도
밀양,밀양시,경상남도
산청,산청군,경상남도
거제,거제시,경상남도
남해,남해군,경상남도
북부산,강서구,부산광역시
